# m c logL logPrior
1.781564071656905313e+01 6.616568268446111567e+00 -1.505180635886271484e+06 -1.586985270709365237e+00
-1.061926497402754421e+01 -5.194406249197162317e+00 -1.496283419129254296e+06 -5.638439429430411876e-01
-1.143503327854223528e+01 1.832171665894030688e-01 -1.495323024369552732e+06 -6.537999304068418116e-01
-1.271461882561693102e+01 8.846721479618825157e+00 -1.493089538193110144e+06 -8.083076594036622264e-01
-1.106015987973915493e+01 -2.021399145486540316e+00 -1.487359015051697381e+06 -6.116356828269582380e-01
-1.026634140762389258e+01 -7.127424344737023354e+00 -1.485545106835649814e+06 -5.269888294894646830e-01
1.908760151525924798e+01 -2.575911114725741857e+00 -1.481778025694047799e+06 -1.821682658026635426e+00
-9.798417781617583699e+00 -9.526622711248244002e+00 -1.466952722166625550e+06 -4.800449551155981931e-01
-9.979680733681068006e+00 -8.130904850561858410e+00 -1.459842188760229619e+06 -4.979701377310254973e-01
-1.149784842755240888e+01 1.817129679780688623e+00 -1.459161465887421044e+06 -6.610025923148469262e-01
-1.217989364481468506e+01 6.483958628515400946e+00 -1.456403658698365791e+06 -7.417490459949858117e-01
1.849487742402389046e+01 5.072588400549111753e-01 -1.455987424969850574e+06 -1.710302454648342740e+00
-1.036611151778642181e+01 -5.478490230445022924e+00 -1.455090453601997113e+06 -5.372813399959216474e-01
-1.249937660944823392e+01 8.918618120779569836e+00 -1.448755506568438606e+06 -7.811720781241081601e-01
1.953039167652511665e+01 -6.801345008161852945e+00 -1.446200397405080963e+06 -1.907180995192407691e+00
-1.236635231097011633e+01 8.240734312074636136e+00 -1.442238872111507459e+06 -7.646333473951797410e-01
-1.253104279720489522e+01 9.810232331628602864e+00 -1.429551323093236657e+06 -7.851351679269032990e-01
1.697303906309147692e+01 9.448549223784089790e+00 -1.425701743387074210e+06 -1.440420275186146126e+00
1.727186824503180418e+01 7.512902063755655391e+00 -1.425608218405880034e+06 -1.491587163368690128e+00
1.699301749052972355e+01 8.952042996231487137e+00 -1.414707651094490662e+06 -1.443813217167245311e+00
-1.043604228675036616e+01 -3.642382530617699565e+00 -1.413904988779919920e+06 -5.445548930542091215e-01
-9.961104897207917475e+00 -6.428229010968387058e+00 -1.405070919388458598e+06 -4.961180538658978012e-01
-1.176640326087532173e+01 5.538631551500198036e+00 -1.403440618816655129e+06 -6.922412284876870991e-01
-9.758246796121968103e+00 -7.678770165129431113e+00 -1.403355637199996505e+06 -4.761169026701232432e-01
-9.988960737875402174e+00 -5.981183145425017500e+00 -1.397162057317208033e+06 -4.988966831140814739e-01
1.915088158133376339e+01 -6.047430690292971533e+00 -1.394330242876243312e+06 -1.833781326711343862e+00
-1.165780708144820821e+01 5.137976337095614632e+00 -1.394033032546755159e+06 -6.795223297413199859e-01
-1.044754123095023779e+01 -2.642585048886596510e+00 -1.386782687549755443e+06 -5.457555888620259088e-01
-1.153357578859424493e+01 4.795437398189103639e+00 -1.380046302786304383e+06 -6.651168523562368540e-01
1.707524345088559414e+01 6.930422294015279761e+00 -1.370776632681987016e+06 -1.457819694535056776e+00
-9.844358181947589159e+00 -5.263892256203541287e+00 -1.348719974725212436e+06 -4.845569400723921949e-01
1.931372768192114009e+01 -9.548284312182900635e+00 -1.328593099454916315e+06 -1.865100384857034665e+00
-9.897997742686568401e+00 -3.929742759559438525e+00 -1.320353125637226040e+06 -4.898517965711420286e-01
-1.038272281336047165e+01 -5.632962307204978369e-01 -1.314974668513288954e+06 -5.390046650953800311e-01
-1.097979268743597459e+01 3.442641871201860937e+00 -1.313844059828920290e+06 -6.027792372953624245e-01
-9.130474428839043810e+00 -8.574890959650350197e+00 -1.311329320891703945e+06 -4.168278164784183226e-01
-1.144488272583430799e+01 6.777564690453621310e+00 -1.308216975971688284e+06 -6.549267030405028223e-01
-1.010250597983173471e+01 -2.024213053415315322e+00 -1.304206214385180501e+06 -5.103031353626797939e-01
1.903194757600207510e+01 -8.555605356922182381e+00 -1.303055764719576109e+06 -1.811075142678456373e+00
-9.666795789863982691e+00 -4.762514898412115727e+00 -1.301219310050071217e+06 -4.672347042146600682e-01
-8.924294183972222072e+00 -9.540773093149867989e+00 -1.301127947662556078e+06 -3.982151334104021556e-01
-1.177478180368420801e+01 9.393650634305368285e+00 -1.298154483414732153e+06 -6.932274326218637039e-01
-1.007526294096032160e+01 -1.939331971957781509e+00 -1.296780940155986929e+06 -5.075546166474420584e-01
